anfitrion,distrito,alojamientos_por_anfitrion
7049661,Centro,1
7033920,Chamartin,1
7033920,Centro,1
6979632,Ciudad Lineal,1
6944433,Centro,1
6928584,Centro,1
6871745,Centro,1
6861593,Chamberi,1
6818751,Centro,1
7943769,San Blas - Canillejas,1
8108510,Retiro,1
8125749,Centro,1
8130428,Centro,1
9137401,Centro,1
8996173,Centro,1
8986611,Centro,1
8983711,Centro,1
8933508,Centro,1
8901422,San Blas - Canillejas,1
8879010,Centro,1
8807899,Centro,1
8724478,Chamberi,1
8724268,Arganzuela,1
8719029,Ciudad Lineal,1
8664077,Moncloa - Aravaca,1
8631882,Arganzuela,1
8624564,Ciudad Lineal,1
8622607,Moncloa - Aravaca,1
8607668,Centro,1
8584829,Chamartin,1
8578326,Centro,1
8577935,Chamberi,1
8532170,Centro,1
8515277,Retiro,1
8449261,Latina,1
8447678,Centro,1
8385568,Centro,1
8345477,Salamanca,1
8276432,Centro,1
8242728,Retiro,1
8231348,Latina,1
8192639,Centro,1
7595958,Centro,1
4008643,Chamartin,1
4424070,Centro,1
1703448,Villaverde,1
1766434,Chamartin,1
1751133,Tetuan,1
1751133,Salamanca,1
1738846,Arganzuela,1
1738341,Centro,1
1729503,Retiro,1
1722284,Centro,1
1721232,Latina,1
1721158,Centro,1
1719263,Centro,1
1716726,Arganzuela,1
1714866,Chamartin,1
1713427,Centro,1
1703448,Centro,1
1868359,Centro,1
1702905,Centro,1
1694537,Centro,1
1666293,Centro,1
1652272,Centro,1
1650712,Salamanca,1
1647109,Chamberi,1
1636378,Latina,1
1625657,Centro,1
1598163,Centro,1
1596220,Centro,1
1574604,Centro,1
1567773,Centro,1
1566057,Centro,1
1784424,Centro,1
1890653,Centro,1
1473247,Salamanca,1
2172169,Centro,1
2333408,San Blas - Canillejas,1
2332600,Centro,1
2320165,Chamberi,1
2312712,Barajas,1
2307294,Centro,1
2302267,Centro,1
2296476,Centro,1
2267893,Centro,1
2249249,Retiro,1
2228918,Centro,1
2214378,Centro,1
2201302,Centro,1
2174652,Centro,1
2146727,Moncloa - Aravaca,1
1892467,Centro,1
2134007,Centro,1
2124765,Chamberi,1
2068619,Centro,1
2067969,Centro,1
2056009,Chamartin,1
1985408,Centro,1
1981346,Centro,1
1973909,Centro,1
1973600,Centro,1
1954334,Centro,1
1941314,Centro,1
1932547,Ciudad Lineal,1
1893660,Retiro,1
1478367,Centro,1
1467260,Latina,1
4410687,Centro,1
427419,Tetuan,1
690223,Centro,1
669927,Carabanchel,1
666482,Villaverde,1
655088,Arganzuela,1
632589,Centro,1
584351,Centro,1
574498,Centro,1
571765,Centro,1
534515,Centro,1
527760,Fuencarral - El Pardo,1
487095,Centro,1
448981,Salamanca,1
447969,Arganzuela,1
391014,Centro,1
757672,Centro,1
378073,Retiro,1
368907,Chamberi,1
368907,Centro,1
353738,Chamberi,1
303845,Centro,1
266650,Retiro,1
259229,Centro,1
216570,Centro,1
142989,Vicalvaro,1
114340,Arganzuela,1
101653,Centro,1
101471,Centro,1
83531,Latina,1
723539,Centro,1
780107,Chamberi,1
1466005,Centro,1
1341870,Centro,1
1450430,Tetuan,1
1450378,Chamberi,1
1425071,Moncloa - Aravaca,1
1425071,Chamberi,1
1408525,Chamberi,1
1408525,Arganzuela,1
1406073,Centro,1
1375487,Centro,1
1374415,Tetuan,1
1373873,Centro,1
1370007,Centro,1
1367452,Centro,1
1364024,Latina,1
1284868,Chamartin,1
816497,Centro,1
1280726,Chamberi,1
1221103,Chamberi,1
1216993,Salamanca,1
1174648,Centro,1
1150912,Centro,1
1134989,Centro,1
1090760,Hortaleza,1
1008659,Centro,1
1004721,Centro,1
993166,Centro,1
967721,Centro,1
927713,Centro,1
845407,Centro,1
2347489,Chamberi,1
2367126,Centro,1
2376402,San Blas - Canillejas,1
3534151,Retiro,1
3759135,Ciudad Lineal,1
3746437,Centro,1
3730591,Chamberi,1
3724500,Fuencarral - El Pardo,1
3691303,Centro,1
3654886,Barajas,1
3654108,Chamberi,1
3648882,Centro,1
3631892,Centro,1
3612732,Centro,1
3569462,Salamanca,1
3544353,Centro,1
3540591,Centro,1
3519148,Carabanchel,1
3821608,Chamberi,1
3514685,Retiro,1
3508577,Hortaleza,1
3494012,Hortaleza,1
3488397,Centro,1
3469687,Moncloa - Aravaca,1
3466426,Centro,1
3438657,Centro,1
3432379,Centro,1
3385307,Chamberi,1
3357259,Ciudad Lineal,1
3331390,Arganzuela,1
3329487,Retiro,1
3317937,Retiro,1
3771869,Centro,1
3908006,Villa de Vallecas,1
2391244,Hortaleza,1
4190662,Puente de Vallecas,1
4365768,Barajas,1
4356259,Chamberi,1
4354906,Centro,1
4312150,Centro,1
4310374,Moncloa - Aravaca,1
4295642,Centro,1
4294898,Centro,1
4286142,Centro,1
4279976,Moncloa - Aravaca,1
4277536,Centro,1
4247556,Centro,1
4235741,Barajas,1
4198169,San Blas - Canillejas,1
4180632,Centro,1
3917443,Arganzuela,1
4161237,Centro,1
4132185,Ciudad Lineal,1
4118311,Centro,1
4112877,Centro,1
4069734,Centro,1
4068975,Arganzuela,1
4053105,Centro,1
4036376,Centro,1
4032439,Centro,1
4012290,Centro,1
4008643,Tetuan,1
82175,Centro,1
3961468,Centro,1
3298293,Salamanca,1
3290138,Centro,1
3275902,Moncloa - Aravaca,1
2569497,Centro,1
2680319,Chamberi,1
2678039,Arganzuela,1
2673517,Retiro,1
2670977,Centro,1
2668849,Centro,1
2662680,Centro,1
2659765,Centro,1
2659070,Centro,1
2646146,Salamanca,1
2634967,Chamberi,1
2619962,Centro,1
2613319,Centro,1
2581715,Moncloa - Aravaca,1
2566589,Moncloa - Aravaca,1
3275902,Centro,1
2555202,Centro,1
2538187,Centro,1
2517520,Centro,1
2501740,Centro,1
2489796,Centro,1
2480913,Centro,1
2467212,Centro,1
2456671,Retiro,1
2456671,Centro,1
2433045,Centro,1
2425848,Centro,1
2419618,Centro,1
