anfitrion;distrito;plazas;precio
2563986;Chamartin;1;$30.00
2564339;Centro;4;$67.00
1652272;Centro;5;$75.00
2576044;Centro;2;$65.00
2249249;Retiro;1;$19.00
1134989;Centro;6;$39.00
2613319;Centro;2;$34.00
2569497;Centro;2;$55.00
2619962;Centro;1;$24.00
2634967;Chamberí;4;$40.00
447969;Arganzuela;10;$70.00
2638528;Arganzuela;1;$22.00
2659070;Centro;4;$56.00
2661721;Ciudad Lineal;6;$300.00
1284868;Chamartin;1;$23.00
2680319;Chamberí;4;$40.00
2709614;Moncloa - Aravaca;1;$38.00
2673517;Retiro;4;$90.00
1091014;Centro;3;$99.00
2702003;Villa de Vallecas;1;$50.00
2659765;Centro;4;$65.00
2713304;Centro;2;$30.00
2727360;Salamanca;2;$33.00
2740430;Centro;1;$35.00
2747005;Salamanca;5;$105.00
596469;Salamanca;2;$100.00
2779192;Centro;4;$57.00
2785251;Centro;2;$50.00
2795931;Latina;2;$20.00
2347489;Chamberí;1;$22.00
1689652;Centro;2;$30.00
2312712;Barajas;8;$78.00
2847013;Centro;5;$95.00
2847360;Chamberí;2;$60.00
2857508;Centro;4;$67.00
2864064;Centro;3;$33.00
2566589;Moncloa - Aravaca;5;$85.00
2902269;Centro;6;$190.00
2267893;Centro;2;$165.00
2913511;Usera;2;$30.00
153391;Centro;6;$105.00
2940355;Carabanchel;1;$24.00
2952250;Retiro;4;$155.00
2678039;Arganzuela;3;$85.00
1567773;Centro;1;$30.00
2960080;Centro;2;$37.00
2184051;Centro;6;$75.00
2376101;Centro;4;$85.00
2990747;Salamanca;4;$110.00
2991670;Salamanca;1;$19.00
2993477;Tetuán;2;$29.00
2783896;Latina;1;$19.00
2999728;Arganzuela;2;$25.00
2581715;Moncloa - Aravaca;1;$24.00
3010452;Puente de Vallecas;2;$45.00
3017315;Centro;3;$65.00
2174652;Centro;4;$70.00
3053021;Chamartin;1;$23.00
3062041;Villa de Vallecas;3;$60.00
3017315;Centro;3;$70.00
2773350;Arganzuela;2;$60.00
2634967;Chamberí;1;$50.00
3117754;Chamberí;4;$140.00
3121587;Centro;8;$250.00
3141727;Chamartin;6;$75.00
3214130;Centro;2;$45.00
368907;Chamberí;7;$197.00
3290138;Centro;2;$20.00
2991670;Salamanca;3;$16.00
2991670;Salamanca;2;$22.00
3226403;Ciudad Lineal;1;$25.00
3235676;Centro;2;$70.00
3244793;Arganzuela;2;$39.00
1091014;Centro;4;$125.00
3249358;Chamberí;2;$40.00
3226403;Ciudad Lineal;2;$30.00
1375487;Centro;2;$65.00
3329487;Retiro;2;$29.00
845399;Centro;1;$30.00
3352121;Villa de Vallecas;2;$22.00
3385307;Chamberí;1;$45.00
3432379;Centro;3;$80.00
3317937;Retiro;4;$75.00
2417075;Chamberí;8;$149.00
3466426;Centro;2;$45.00
3469687;Moncloa - Aravaca;4;$80.00
9228673;Salamanca;6;$210.00
3483233;Puente de Vallecas;1;$25.00
3487329;Carabanchel;2;$20.00
1941314;Centro;3;$108.00
3494012;Hortaleza;12;$155.00
3508577;Hortaleza;2;$40.00
1732442;Centro;10;$75.00
3357259;Ciudad Lineal;1;$40.00
655088;Arganzuela;1;$23.00
655088;Arganzuela;2;$37.00
3540348;Villaverde;8;$98.00
3544353;Centro;4;$75.00
3540348;Villaverde;5;$75.00
3021792;Centro;6;$80.00
3569462;Salamanca;3;$60.00
3571619;Tetuán;2;$35.00
3534151;Retiro;6;$65.00
3606346;Centro;4;$73.00
3483233;Puente de Vallecas;1;$25.00
3477002;Chamberí;2;$60.00
3540591;Centro;3;$70.00
2785251;Chamartin;2;$50.00
3648882;Centro;4;$69.00
3654886;Barajas;2;$29.00
3654108;Chamberí;3;$23.00
2747005;Moratalaz;7;$125.00
3689490;Centro;4;$99.00
2747005;Ciudad Lineal;5;$85.00
3691303;Centro;6;$72.00
3698406;Centro;2;$100.00
1954334;Centro;4;$55.00
3724500;Fuencarral - El Pardo;2;$50.00
3726310;Puente de Vallecas;2;$22.00
2555202;Centro;6;$75.00
3746437;Centro;4;$60.00
3759135;Ciudad Lineal;2;$130.00
2172169;Centro;3;$60.00
498646;Puente de Vallecas;4;$43.00
1566057;Centro;5;$80.00
3797913;Centro;6;$140.00
3797913;Centro;6;$140.00
3797913;Centro;6;$150.00
3730591;Chamberí;2;$50.00
3821608;Chamberí;1;$35.00
3825783;Retiro;1;$50.00
3771869;Centro;3;$48.00
2952250;Salamanca;4;$194.00
2236658;Centro;2;$25.00
1735664;Centro;5;$110.00
3591751;Arganzuela;2;$35.00
3797913;Centro;12;$250.00
1719263;Centro;4;$100.00
1625657;Centro;4;$85.00
1888816;Arganzuela;1;$24.00
130907;Centro;2;$75.00
3951702;Centro;9;$205.00
3898452;Centro;4;$59.00
216570;Centro;5;$110.00
3438657;Centro;2;$50.00
3960415;Latina;1;$45.00
3961468;Centro;8;$135.00
2536524;San Blas - Canillejas;2;$42.00
3898452;Centro;4;$59.00
1650712;Centro;3;$104.00
596469;Centro;3;$100.00
3983613;Centro;4;$110.00
2536524;San Blas - Canillejas;2;$27.00
3998859;Salamanca;4;$100.00
690223;Centro;5;$104.00
4008643;Tetuán;8;$145.00
2670977;Centro;4;$70.00
4012290;Centro;4;$59.00
378073;Centro;4;$85.00
4032439;Centro;4;$65.00
4036376;Centro;2;$58.00
4053105;Centro;2;$61.00
2695144;Hortaleza;1;$28.00
4069734;Centro;2;$48.00
3606346;Centro;4;$73.00
2991925;Centro;2;$35.00
1732442;Centro;12;$75.00
4083688;Centro;2;$49.00
4083766;Ciudad Lineal;2;$34.00
3214130;Centro;2;$50.00
4112877;Centro;2;$95.00
4068975;Arganzuela;8;$145.00
4118311;Centro;1;$35.00
4103866;Tetuán;2;$40.00
4103866;Tetuán;1;$30.00
4128029;Centro;3;$40.00
4132185;Ciudad Lineal;1;$24.00
2991925;Centro;2;$33.00
378073;Retiro;4;$85.00
4161237;Centro;6;$80.00
4180632;Centro;8;$220.00
4181071;Centro;2;$65.00
4198169;San Blas - Canillejas;3;$45.00
4203067;Centro;2;$80.00
4235741;Barajas;2;$28.00
630482;Carabanchel;2;$20.00
4277536;Centro;4;$87.00
4159117;San Blas - Canillejas;2;$30.00
4281126;Retiro;1;$20.00
4286142;Centro;2;$85.00
4292037;Centro;4;$50.00
4295642;Centro;2;$65.00
4305310;Centro;5;$95.00
1341870;Centro;4;$129.00
4211443;Centro;2;$65.00
4280501;Centro;2;$59.00
4305310;Centro;4;$75.00
2333408;San Blas - Canillejas;1;$12.00
4354906;Centro;4;$65.00
4356259;Chamberí;3;$65.00
4292037;Centro;4;$55.00
4365768;Barajas;10;$110.00
4190662;Puente de Vallecas;2;$25.00
153391;Centro;2;$67.00
4310374;Moncloa - Aravaca;4;$125.00
4281126;Retiro;2;$25.00
4281126;Retiro;1;$20.00
4084426;Centro;3;$130.00
4084426;Centro;3;$90.00
4279976;Moncloa - Aravaca;2;$96.00
3298293;Salamanca;4;$200.00
4211443;Centro;2;$65.00
4211443;Centro;6;$115.00
4410687;Centro;4;$62.00
2489796;Centro;2;$40.00
4424170;Ciudad Lineal;3;$49.00
4424222;Moratalaz;8;$140.00
1331093;Centro;2;$60.00
153391;Centro;8;$155.00
4433597;Centro;2;$30.00
4424070;Centro;2;$65.00
3726732;Centro;3;$59.00
3726732;Centro;4;$107.00
3726732;Centro;2;$57.00
3726732;Centro;2;$67.00
3726732;Centro;4;$68.00
4247556;Centro;2;$95.00
584351;Centro;3;$70.00
4502639;San Blas - Canillejas;2;$48.00
1714750;Centro;4;$140.00
2456671;Centro;4;$60.00
4522970;Arganzuela;1;$40.00
3631892;Centro;3;$49.00
2668849;Centro;2;$31.00
2419618;Centro;2;$40.00
4312150;Centro;4;$55.00
596469;Centro;2;$80.00
4582755;Centro;4;$70.00
1221103;Chamberí;2;$64.00
4504807;Centro;3;$100.00
4603165;San Blas - Canillejas;2;$30.00
4628173;Chamartin;4;$70.00
805726;Centro;2;$25.00
3917443;Arganzuela;4;$75.00
2646146;Salamanca;1;$28.00
2646146;Salamanca;2;$32.00
4674072;Arganzuela;1;$24.00
4677030;Salamanca;6;$140.00
4677458;Salamanca;3;$42.00
4684397;Centro;2;$40.00
4697070;Chamberí;5;$105.00
2646146;Salamanca;2;$38.00
2646146;Salamanca;3;$50.00
2991670;Salamanca;2;$19.00
2991670;Salamanca;1;$19.00
4710774;Centro;2;$90.00
4665174;Centro;2;$69.00
4735460;Salamanca;2;$61.00
4739098;Centro;2;$80.00
4740276;Carabanchel;2;$60.00
1467260;Latina;3;$39.00
4735460;Salamanca;4;$75.00
4735460;Salamanca;4;$61.00
4735460;Centro;3;$200.00
4735460;Centro;3;$221.00
4735460;Salamanca;4;$75.00
4735460;Salamanca;2;$61.00
4762305;Centro;2;$72.00
4777959;Chamartin;2;$55.00
4778528;Arganzuela;2;$19.00
266650;Retiro;4;$120.00
1331093;Centro;4;$120.00
4819459;Barajas;1;$30.00
4826927;Centro;2;$50.00
4831338;Centro;4;$49.00
4839888;Centro;4;$135.00
4839888;Centro;4;$89.00
4839888;Centro;6;$132.00
4860266;Centro;2;$90.00
4903694;Centro;2;$35.00
4905854;Puente de Vallecas;2;$20.00
4651429;Salamanca;4;$60.00
1574604;Centro;4;$130.00
4967875;Retiro;5;$94.00
4974280;Arganzuela;4;$80.00
1714750;Centro;5;$120.00
4975799;Centro;2;$45.00
4977367;Centro;5;$68.00
2864064;Centro;4;$66.00
5031865;Arganzuela;5;$120.00
5052379;Centro;4;$150.00
9228673;Salamanca;4;$220.00
5084073;Arganzuela;4;$73.00
5114074;Centro;3;$72.00
850654;Centro;8;$37.00
1738341;Centro;8;$105.00
5132742;Centro;2;$48.00
4722486;Centro;4;$95.00
2783896;Latina;2;$26.00
1425071;Chamberí;5;$82.00
5198285;Latina;4;$70.00
5211661;Centro;4;$59.00
2483139;Centro;2;$79.00
1647109;Chamberí;4;$90.00
5302455;Retiro;16;$350.00
6363695;Centro;2;$40.00
5347216;Centro;1;$25.00
5360317;Chamberí;2;$35.00
534128;Centro;6;$185.00
534128;Chamberí;4;$60.00
534128;Chamberí;8;$205.00
5386601;Puente de Vallecas;2;$27.00
5389129;Tetuán;4;$60.00
4839698;Centro;2;$65.00
1714541;Ciudad Lineal;6;$55.00
2561320;Centro;5;$90.00
3585435;Ciudad Lineal;4;$198.00
5343904;Centro;2;$44.00
5516172;Fuencarral - El Pardo;1;$18.00
1130651;Centro;3;$70.00
5521269;Centro;4;$85.00
5528551;Centro;2;$69.00
5542111;Centro;4;$74.00
5577429;Arganzuela;2;$33.00
4361819;Centro;1;$37.00
5606144;Hortaleza;1;$30.00
5618733;Chamberí;1;$30.00
5649948;Chamberí;1;$30.00
5712665;Centro;3;$80.00
5719307;Centro;4;$65.00
5722524;Barajas;2;$42.00
4967875;Retiro;5;$94.00
5751753;Moncloa - Aravaca;16;$85.00
5759904;Centro;4;$46.00
2913511;Usera;2;$30.00
5785483;Salamanca;2;$30.00
5795235;Centro;4;$70.00
5798033;Centro;5;$80.00
5801580;Chamberí;1;$24.00
5814460;Chamberí;2;$30.00
571765;Centro;4;$70.00
5824815;Centro;8;$101.00
2214378;Centro;2;$34.00
5735364;Chamberí;1;$22.00
5542111;Centro;4;$75.00
5542111;Centro;4;$65.00
5869715;Centro;3;$45.00
5876034;Tetuán;4;$90.00
5896428;Centro;2;$75.00
5918751;Centro;5;$150.00
5918969;Centro;2;$148.00
