anfitrion;distrito;plazas;precio
10654623;Centro;2;$35.00
10668178;Arganzuela;4;$80.00
4582755;Centro;2;$34.00
6564220;Centro;2;$65.00
4083688;Centro;4;$59.00
4083688;Centro;4;$59.00
4083688;Centro;3;$55.00
3048290;Centro;8;$95.00
10651006;Centro;2;$59.00
10651006;Centro;2;$55.00
10651006;Centro;10;$99.00
3048290;Centro;7;$95.00
7649063;Centro;2;$57.00
2425848;Centro;6;$199.00
1091014;Centro;6;$375.00
353738;Chamberí;2;$61.00
927713;Centro;4;$65.00
4023064;Centro;2;$61.00
10863262;Carabanchel;1;$23.00
8879142;Tetuán;2;$33.00
5542111;Centro;5;$73.00
2541550;Centro;9;$125.00
10916450;Centro;6;$90.00
10940437;Centro;10;$20.00
10942518;Usera;2;$28.00
10940437;Centro;6;$22.00
10940437;Centro;8;$22.00
10940437;Centro;8;$21.00
10942518;Usera;3;$28.00
10974652;Centro;5;$200.00
4599639;Retiro;6;$110.00
2184051;Centro;2;$50.00
11116174;Centro;4;$60.00
427419;Tetuán;3;$65.00
11146984;Hortaleza;5;$100.00
2662680;Centro;4;$135.00
11172003;Chamberí;1;$45.00
11152132;Centro;2;$70.00
11179787;Carabanchel;6;$31.00
11262545;Arganzuela;1;$45.00
11342272;Centro;2;$30.00
11340614;Chamartin;1;$40.00
11407661;Centro;2;$49.00
1425071;Moncloa - Aravaca;3;$80.00
11479457;Centro;4;$120.00
11385250;Centro;2;$35.00
5002446;Centro;2;$79.00
7739367;Centro;4;$65.00
7033920;Chamartin;4;$95.00
2541550;Centro;4;$67.00
11650026;Centro;4;$70.00
5500409;Centro;2;$65.00
1843216;Centro;3;$69.00
11667662;Chamartin;3;$49.00
762655;Centro;2;$75.00
8584829;Chamartin;2;$75.00
3447304;Centro;2;$40.00
8515277;Retiro;6;$137.00
10037966;Arganzuela;3;$58.00
4615520;Centro;2;$78.00
2561320;Centro;6;$140.00
7331716;Centro;3;$60.00
11964814;Ciudad Lineal;1;$29.00
9805902;Centro;4;$200.00
2933277;Centro;3;$82.00
12027564;Centro;2;$70.00
12028707;Centro;5;$120.00
12028707;Centro;6;$120.00
12028707;Centro;10;$300.00
2536524;San Blas - Canillejas;2;$25.00
12077356;Centro;4;$50.00
12105600;Centro;5;$55.00
757672;Centro;4;$120.00
4967875;Retiro;4;$94.00
12183135;Centro;6;$100.00
5031865;Latina;5;$70.00
12252321;Moncloa - Aravaca;1;$27.00
4190343;Centro;6;$75.00
8705535;Centro;4;$62.00
12481365;Centro;6;$85.00
378073;Centro;6;$85.00
4975799;Centro;4;$85.00
5542111;Centro;4;$65.00
12641432;Centro;4;$75.00
12698367;Moncloa - Aravaca;3;$78.00
7038627;Centro;2;$64.00
12202578;Arganzuela;2;$30.00
11824804;Centro;4;$85.00
5514970;Chamartin;5;$175.00
10569881;Centro;4;$110.00
12799099;Centro;7;$84.00
12791313;Centro;4;$100.00
12691164;Centro;2;$45.00
12904592;Salamanca;3;$90.00
12904592;Salamanca;3;$90.00
1890653;Centro;2;$58.00
605612;Centro;1;$34.00
13097473;Centro;3;$49.00
4677030;Moncloa - Aravaca;4;$90.00
845407;Centro;2;$400.00
6128492;Salamanca;2;$50.00
4008643;Chamartin;7;$125.00
13250761;Chamberí;3;$200.00
13253937;Retiro;6;$100.00
13340216;Centro;5;$70.00
845407;Centro;2;$110.00
9757922;Centro;4;$80.00
13440901;Centro;2;$100.00
13474925;Centro;3;$50.00
2864064;Centro;4;$61.00
13492658;Centro;2;$24.00
13513088;Centro;5;$80.00
13523635;Tetuán;2;$100.00
13537715;Latina;4;$70.00
13569734;Centro;3;$109.00
13569734;Centro;2;$109.00
13590063;Centro;2;$30.00
1156753;Chamberí;2;$65.00
4294898;Centro;2;$46.00
13686767;Chamberí;4;$60.00
13689103;Chamberí;4;$65.00
3447304;Centro;2;$40.00
13732037;Centro;4;$75.00
13742566;Centro;4;$60.00
13742566;Centro;3;$67.00
13751801;Centro;1;$21.00
1650712;Salamanca;4;$165.00
13841663;Centro;3;$85.00
1843216;Centro;4;$69.00
5542111;Centro;5;$67.00
