id;anfitrion;url;tipo_alojamiento;distrito;precio;gastos_limpieza;plazas;noches_minimas;puntuacion;precio_persona
261878;1373873;https://www.airbnb.com/rooms/261878;Entire home/apt;Centro;74;20;2;1;98;31,33333333
261959;1374415;https://www.airbnb.com/rooms/261959;Private room;Tetuan;28;0;1;1;85;14
263748;1351865;https://www.airbnb.com/rooms/263748;Entire home/apt;Hortaleza;66;30;4;2;95;27
264054;1370007;https://www.airbnb.com/rooms/264054;Entire home/apt;Centro;480;170;12;2;94;80,71428571
268275;1406073;https://www.airbnb.com/rooms/268275;Entire home/apt;Centro;75;30;4;2;94;30
280733;596469;https://www.airbnb.com/rooms/280733;Hotel room;Centro;90;85;4;5;95;59,44444444
281224;1466005;https://www.airbnb.com/rooms/281224;Entire home/apt;Centro;72;45;4;2;91;31,5
282715;1473247;https://www.airbnb.com/rooms/282715;Entire home/apt;Salamanca;169;60;4;2;97;66,33333333
283862;1478367;https://www.airbnb.com/rooms/283862;Entire home/apt;Centro;85;90;6;1;97;25
287660;1496188;https://www.airbnb.com/rooms/287660;Private room;Centro;30;10;1;1;100;20
289555;901218;https://www.airbnb.com/rooms/289555;Private room;Centro;58;38;5;3;89;26,5
290420;805726;https://www.airbnb.com/rooms/290420;Private room;Latina;20;12;1;2;84;17,33333333
294520;1522694;https://www.airbnb.com/rooms/294520;Private room;Centro;60;10;3;2;87;26
294529;1522694;https://www.airbnb.com/rooms/294529;Private room;Centro;43;10;1;4;92;36,4
296191;845399;https://www.airbnb.com/rooms/296191;Private room;Centro;60;7;2;1;100;22,33333333
297017;4677030;https://www.airbnb.com/rooms/297017;Entire home/apt;Centro;110;55;4;3;88;55
310333;1596220;https://www.airbnb.com/rooms/310333;Entire home/apt;Centro;80;0;6;3;91;26,66666667
310678;1598163;https://www.airbnb.com/rooms/310678;Entire home/apt;Centro;68;25;4;3;93;32,71428571
315682;1095831;https://www.airbnb.com/rooms/315682;Entire home/apt;Centro;155;75;7;3;93;54
318826;1636378;https://www.airbnb.com/rooms/318826;Entire home/apt;Latina;90;50;4;6;98;59
322548;1650712;https://www.airbnb.com/rooms/322548;Entire home/apt;Centro;116;60;4;2;88;48,66666667
334281;1702905;https://www.airbnb.com/rooms/334281;Entire home/apt;Centro;75;35;6;3;92;28,88888889
336672;1716726;https://www.airbnb.com/rooms/336672;Entire home/apt;Arganzuela;115;40;6;2;96;33,75
336834;1713427;https://www.airbnb.com/rooms/336834;Entire home/apt;Centro;63;25;5;5;92;34
336869;1713524;https://www.airbnb.com/rooms/336869;Private room;Centro;100;20;2;2;99;55
337209;1714541;https://www.airbnb.com/rooms/337209;Private room;Retiro;24;15;3;2;88;12,6
337292;1714866;https://www.airbnb.com/rooms/337292;Private room;Chamartin;35;25;1;2;100;31,66666667
339144;1721158;https://www.airbnb.com/rooms/339144;Entire home/apt;Centro;63;0;4;15;98;49,73684211
339171;1722284;https://www.airbnb.com/rooms/339171;Entire home/apt;Centro;82;40;4;3;97;40,85714286
339751;1721232;https://www.airbnb.com/rooms/339751;Private room;Latina;22;0;6;2;89;5,5
